Data: 2023-06-29 08:47:12.434246
student's info:
Linux 5.19.0-45-generic (student-VirtualBox) 	29.06.2023 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2,21    0,07   14,73    0,69    0,00   82,29

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0,01         0,01         0,00         0,00         17          0          0
loop1             0,02         0,39         0,00         0,00       1082          0          0
loop10            0,46        23,07         0,00         0,00      63465          0          0
loop11            0,02         0,39         0,00         0,00       1084          0          0
loop12            0,02         0,40         0,00         0,00       1102          0          0
loop13            0,02         0,39         0,00         0,00       1069          0          0
loop14            0,89         2,64         0,00         0,00       7259          0          0
loop15            0,02         0,13         0,00         0,00        351          0          0
loop16            1,07        19,29         0,00         0,00      53078          0          0
loop17            0,08         1,14         0,00         0,00       3142          0          0
loop18            0,02         0,13         0,00         0,00        350          0          0
loop19            0,26         9,01         0,00         0,00      24787          0          0
loop2             1,05        39,92         0,00         0,00     109827          0          0
loop20            0,01         0,02         0,00         0,00         54          0          0
loop21            0,01         0,10         0,00         0,00        281          0          0
loop22            0,00         0,01         0,00         0,00         14          0          0
loop3             0,02         0,39         0,00         0,00       1064          0          0
loop4             0,02         0,40         0,00         0,00       1110          0          0
loop5             0,02         0,13         0,00         0,00        351          0          0
loop6             0,08         2,42         0,00         0,00       6646          0          0
loop7             0,02         0,39         0,00         0,00       1073          0          0
loop8             0,19         2,52         0,00         0,00       6920          0          0
loop9             0,02         0,39         0,00         0,00       1081          0          0
sda              57,11       731,49      2369,95         0,00    2012598    6520574          0
sr0               0,02         0,05         0,00         0,00        148          0          0
