Linux 5.19.0-43-generic (ubuntu2) 	22.06.2023 	_x86_64_	(1 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4,03    0,08    1,55    0,07    0,00   94,26

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0,00         0,00         0,00         0,00         17          0          0
loop1             0,01         0,03         0,00         0,00        952          0          0
loop10            0,09         0,88         0,00         0,00      25789          0          0
loop11            0,13         0,35         0,00         0,00      10207          0          0
loop12            0,02         0,04         0,00         0,00       1247          0          0
loop13            0,01         0,11         0,00         0,00       3248          0          0
loop14            0,02         0,87         0,00         0,00      25370          0          0
loop15            0,00         0,01         0,00         0,00        368          0          0
loop16            0,00         0,01         0,00         0,00        281          0          0
loop17            0,00         0,00         0,00         0,00         54          0          0
loop18            0,04         0,27         0,00         0,00       7966          0          0
loop19            0,01         0,03         0,00         0,00        939          0          0
loop2             0,01         0,03         0,00         0,00       1003          0          0
loop3             0,01         0,06         0,00         0,00       1746          0          0
loop4             0,03         0,22         0,00         0,00       6305          0          0
loop5             0,00         0,04         0,00         0,00       1120          0          0
loop6             0,00         0,04         0,00         0,00       1163          0          0
loop7             0,02         0,08         0,00         0,00       2218          0          0
loop8             0,02         0,07         0,00         0,00       2108          0          0
loop9             0,02         0,07         0,00         0,00       2115          0          0
sda               3,81        55,51        55,33         0,00    1624833    1619585          0
sdb               0,00         0,08         0,00         0,00       2245          0          0
sdc               0,01         0,23         0,00         0,00       6664          0          0
sdd               0,00         0,03         0,00         0,00        924          0          0
sde               0,00         0,02         0,00         0,00        684          0          0
sr0               0,00         0,01         0,00         0,00        148          0          0
